fen,time,move,val
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 1,8,c3e4,0.21
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 1,1,g8f6,0.23
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 0 1,1,e4g3,0.2
rn1qkbnr/pp2pppp/2p5/5b2/3P4/6N1/PPP2PPP/R1BQKBNR b KQkq - 0 1,1,f5g6,0.2
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq - 0 1,1,g1f3,0.27
rn1qkbnr/pp2pppp/2p3b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R b KQkq - 0 1,8,b8d7,0.25
r2qkbnr/pp1npppp/2p3b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq - 0 1,1,h2h4,0.2
r2qkbnr/pp1npppp/2p3b1/8/3P3P/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 1,1,h7h6,0.2
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R w KQkq - 0 1,8,h4h5,0.22
r2qkbnr/pp1nppp1/2p3bp/7P/3P4/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 1,1,g6h7,0.15
r2qkbnr/pp1npppb/2p4p/7P/3P4/5NN1/PPP2PP1/R1BQKB1R w KQkq - 0 1,8,f1d3,0.17
r2qkbnr/pp1npppb/2p4p/7P/3P4/3B1NN1/PPP2PP1/R1BQK2R b KQkq - 0 1,1,h7d3,0.14
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3b1NN1/PPP2PP1/R1BQK2R w KQkq - 0 1,1,d1d3,0.18
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R b KQkq - 0 1,1,e7e6,0.22
r3kbnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 0 1,1,c1d2,0.31
r3kbnr/ppqnppp1/2p4p/7P/3P3R/3Q1NN1/PPP2PP1/R1B1K3 b Qkq - 0 1,1,g8f6,0.2
r3kbnr/ppqn1pp1/2p1p2p/7P/3P3R/3Q1NN1/PPP2PP1/R1B1K3 w Qkq - 0 1,1,c1f4,0.28
r3kbnr/ppqn1pp1/2p1p2p/7P/3P1B1R/3Q1NN1/PPP2PP1/R3K3 b Qkq - 0 1,1,f8d6,0.29
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 1,1,h7h6,0.26
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/6N1/PPP2PP1/R1BQKBNR w KQkq - 0 1,1,g1f3,0.21
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 1,1,b8d7,0.27
r2qkb1r/pp1nppp1/2p2n1p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 0 1,1,c1f4,0.33
r2qkb1r/pp1nppp1/2p2n1p/7P/3P1B2/3Q1NN1/PPP2PP1/R3K2R b KQkq - 0 1,1,e7e6,0.31
r2qkb1r/pp1n1pp1/2p1pn1p/7P/3P1B2/3Q1NN1/PPP2PP1/R3K2R w KQkq - 0 1,1,e1c1,0.31
r2qkb1r/pp1n1pp1/2p1pn1p/7P/3P1B2/3Q1NN1/PPP2PP1/2KR3R b kq - 0 1,1,f8e7,0.4
